delay	freq	condition	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	polygon.started	polygon_2.started	key_resp.started	polygon.stopped	key_resp.keys	key_resp.rt	sound_1.started	sound_1.stopped	text.started	textbox.started	button.started	textbox.text	button.numClicks	button.timesOn	button.timesOff	participant	session	date	expName	psychopyVersion	frameRate
0.7	1000	exp	0	0	0	8	73.6709281	74.4778705	74.4778705	74.6779019	space	2.1531422	77.42742714	77.7889266	77.7889266	77.7889266	77.7889266	300	1	[6.603961699875072]	[6.603966000024229]	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	1000	exp	0	1	1	9	84.3261401	85.3250395	85.3250395	85.3250395	space	2.1747982	87.62468754	87.9241693	87.9241693	87.9241693	87.9241693	200	2	"[6.603961699875072, 7.181363600073382]"	"[6.603966000024229, 7.181370500009507]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	0	2	2	7	95.1063026	96.1055682	96.1055682	96.1055682	space	0.9617539	97.48854394	97.8524801	97.8524801	97.8524801	97.8524801	400	3	"[6.603961699875072, 7.181363600073382, 4.178450099891052]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	1000	exp	0	3	3	3	102.0382804	103.0374681	103.0374681	103.0374681	space	0.2464176	103.4037493		103.703719	103.703719	103.703719	400	4	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.7	1000	exp	0	4	4	5	108.8028621	109.8022587	109.8022587	109.8022587	space	0.2145114	110.7351765		111.0353002	111.0353002	111.0353002	300	5	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	0	5	5	4	115.217955	116.2171743	116.2171743	116.2171743	space	1.0493978	117.6837423		117.9835367	117.9835367	117.9835367	500	6	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.7	1000	exp	0	6	6	11	120.6497756	121.6492063	121.6492063	121.6492063	space	1.5399474	123.9155995		124.215473	124.215473	124.215473	300	7	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	0	7	7	10	128.5978103	129.5972157	129.5972157	129.5972157	space	1.0842008	131.1134541		131.4137009	131.4137009	131.4137009	300	8	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	400	unexp	0	8	8	1	135.2461229	136.2454124	136.2454124	136.2454124	space	0.0066479	136.6788245		136.9622403	136.9622403	136.9622403	300	9	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	1000	exp	0	9	9	6	141.7611755	142.7605747	142.7605747	142.7605747	space	2.2618065	145.1431666		145.4435496	145.4435496	145.4435496	200	10	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
